concept:name,time:timestamp,case:concept:name
check availability,2023-12-07 18:10:49,9c22cbcd-f667-4843-8e62-804ee47ee395
check availability,2023-12-07 18:10:49,bb428c8c-4696-4030-a5ad-569be050a7a8
reject order,2023-12-07 18:10:50,51fce088-d281-4538-8efe-f831f9f675b0
confirm order,2023-12-07 18:10:50,bba187b7-d706-4e72-af4c-f8a9b694d66d
confirm order,2023-12-07 18:10:50,7b9c4b1b-1756-4b0b-a975-0d1384056274
check availability,2023-12-07 18:10:50,bdc69357-0811-4c84-8b59-522527a48ed0
check availability,2023-12-07 18:10:51,9d06d1d6-d903-454b-a586-43e75a36982a
confirm order,2023-12-07 18:10:52,9d06d1d6-d903-454b-a586-43e75a36982a
check availability,2023-12-07 18:10:52,df45d052-b39d-4c30-b48f-3ae84aa536bd
confirm order,2023-12-07 18:10:53,98656d27-50e3-40d0-b944-31dbc8489cbe
check availability,2023-12-07 18:10:53,cdfd47bd-2ebe-4c96-9a58-8768f074a2b6
confirm order,2023-12-07 18:10:53,bb428c8c-4696-4030-a5ad-569be050a7a8
check availability,2023-12-07 18:10:54,31a2e331-78cd-42ea-8515-e6c99c2a3b4b
check availability,2023-12-07 18:10:54,da01bb8c-cfa2-43e2-93eb-a7b7476a4df8
check availability,2023-12-07 18:10:55,c4ce8bf2-f46f-46b3-a983-ce969d189fbf
confirm order,2023-12-07 18:10:55,bdc69357-0811-4c84-8b59-522527a48ed0
confirm order,2023-12-07 18:10:55,cdfd47bd-2ebe-4c96-9a58-8768f074a2b6
confirm order,2023-12-07 18:10:55,9c22cbcd-f667-4843-8e62-804ee47ee395
reject order,2023-12-07 18:10:56,df45d052-b39d-4c30-b48f-3ae84aa536bd
send invoice,2023-12-07 18:10:56,bba187b7-d706-4e72-af4c-f8a9b694d66d
check availability,2023-12-07 18:10:56,11ac4be8-af00-451b-87cb-f7871e26f821
send invoice,2023-12-07 18:10:56,3a280a30-ab94-4e84-b11e-d459e0164b41
check availability,2023-12-07 18:10:57,20adc4b8-11ea-467d-afb1-dd9a74063bf6
check availability,2023-12-07 18:10:58,229c52db-c6b0-4c13-a682-98696680b379
check availability,2023-12-07 18:10:58,70aa17ca-2da3-401d-a6b6-af5a7c5287cb
reject order,2023-12-07 18:10:58,31a2e331-78cd-42ea-8515-e6c99c2a3b4b
reject order,2023-12-07 18:10:59,c4ce8bf2-f46f-46b3-a983-ce969d189fbf
check availability,2023-12-07 18:10:59,44dc4f77-4379-421c-b579-44b30a353986
reject order,2023-12-07 18:11:00,44dc4f77-4379-421c-b579-44b30a353986
send invoice,2023-12-07 18:11:00,98656d27-50e3-40d0-b944-31dbc8489cbe
confirm order,2023-12-07 18:11:00,20adc4b8-11ea-467d-afb1-dd9a74063bf6
check availability,2023-12-07 18:11:00,b2d5ca67-0330-45e8-912e-62208d65453a
