,case:concept:name,concept:name,time:timestamp
0,9c22cbcd-f667-4843-8e62-804ee47ee395,check availability,2023-12-07 18:10:49
1,9c22cbcd-f667-4843-8e62-804ee47ee395,confirm order,2023-12-07 18:10:55
2,9c22cbcd-f667-4843-8e62-804ee47ee395,send invoice,2023-12-07 18:11:04
3,9c22cbcd-f667-4843-8e62-804ee47ee395,ship goods,2023-12-08 04:21:11
4,9c22cbcd-f667-4843-8e62-804ee47ee395,archive order,2023-12-08 04:21:13
5,bb428c8c-4696-4030-a5ad-569be050a7a8,check availability,2023-12-07 18:10:49
6,bb428c8c-4696-4030-a5ad-569be050a7a8,confirm order,2023-12-07 18:10:53
7,bb428c8c-4696-4030-a5ad-569be050a7a8,ship goods,2023-12-08 04:20:58
8,bb428c8c-4696-4030-a5ad-569be050a7a8,send invoice,2023-12-08 04:21:01
9,bb428c8c-4696-4030-a5ad-569be050a7a8,archive order,2023-12-08 04:21:03
10,bba187b7-d706-4e72-af4c-f8a9b694d66d,confirm order,2023-12-07 18:10:50
11,bba187b7-d706-4e72-af4c-f8a9b694d66d,send invoice,2023-12-07 18:10:56
12,bba187b7-d706-4e72-af4c-f8a9b694d66d,ship goods,2023-12-08 04:21:04
13,bba187b7-d706-4e72-af4c-f8a9b694d66d,archive order,2023-12-08 04:21:05
14,7b9c4b1b-1756-4b0b-a975-0d1384056274,confirm order,2023-12-07 18:10:50
15,7b9c4b1b-1756-4b0b-a975-0d1384056274,send invoice,2023-12-07 18:11:01
16,7b9c4b1b-1756-4b0b-a975-0d1384056274,ship goods,2023-12-08 04:21:09
17,7b9c4b1b-1756-4b0b-a975-0d1384056274,archive order,2023-12-08 04:21:10
18,bdc69357-0811-4c84-8b59-522527a48ed0,check availability,2023-12-07 18:10:50
19,bdc69357-0811-4c84-8b59-522527a48ed0,confirm order,2023-12-07 18:10:55
20,bdc69357-0811-4c84-8b59-522527a48ed0,send invoice,2023-12-07 18:11:00
21,bdc69357-0811-4c84-8b59-522527a48ed0,ship goods,2023-12-08 04:21:06
22,bdc69357-0811-4c84-8b59-522527a48ed0,archive order,2023-12-08 04:21:07
23,9d06d1d6-d903-454b-a586-43e75a36982a,check availability,2023-12-07 18:10:51
24,9d06d1d6-d903-454b-a586-43e75a36982a,confirm order,2023-12-07 18:10:52
25,9d06d1d6-d903-454b-a586-43e75a36982a,ship goods,2023-12-08 04:20:55
26,9d06d1d6-d903-454b-a586-43e75a36982a,send invoice,2023-12-08 04:21:01
27,9d06d1d6-d903-454b-a586-43e75a36982a,archive order,2023-12-08 04:21:02
28,98656d27-50e3-40d0-b944-31dbc8489cbe,confirm order,2023-12-07 18:10:53
29,98656d27-50e3-40d0-b944-31dbc8489cbe,send invoice,2023-12-07 18:11:00
30,98656d27-50e3-40d0-b944-31dbc8489cbe,ship goods,2023-12-08 04:21:11
31,98656d27-50e3-40d0-b944-31dbc8489cbe,archive order,2023-12-08 04:21:13
32,cdfd47bd-2ebe-4c96-9a58-8768f074a2b6,check availability,2023-12-07 18:10:53
33,cdfd47bd-2ebe-4c96-9a58-8768f074a2b6,confirm order,2023-12-07 18:10:55
34,cdfd47bd-2ebe-4c96-9a58-8768f074a2b6,send invoice,2023-12-07 18:11:01
35,cdfd47bd-2ebe-4c96-9a58-8768f074a2b6,ship goods,2023-12-08 04:21:12
36,cdfd47bd-2ebe-4c96-9a58-8768f074a2b6,archive order,2023-12-08 04:21:13
37,da01bb8c-cfa2-43e2-93eb-a7b7476a4df8,check availability,2023-12-07 18:10:54
38,da01bb8c-cfa2-43e2-93eb-a7b7476a4df8,confirm order,2023-12-07 18:11:00
39,da01bb8c-cfa2-43e2-93eb-a7b7476a4df8,send invoice,2023-12-07 18:11:04
40,da01bb8c-cfa2-43e2-93eb-a7b7476a4df8,ship goods,2023-12-08 04:21:07
41,da01bb8c-cfa2-43e2-93eb-a7b7476a4df8,archive order,2023-12-08 04:21:09
42,20adc4b8-11ea-467d-afb1-dd9a74063bf6,check availability,2023-12-07 18:10:57
43,20adc4b8-11ea-467d-afb1-dd9a74063bf6,confirm order,2023-12-07 18:11:00
44,20adc4b8-11ea-467d-afb1-dd9a74063bf6,ship goods,2023-12-08 04:21:02
45,20adc4b8-11ea-467d-afb1-dd9a74063bf6,send invoice,2023-12-08 04:21:06
46,20adc4b8-11ea-467d-afb1-dd9a74063bf6,archive order,2023-12-08 04:21:07
47,229c52db-c6b0-4c13-a682-98696680b379,check availability,2023-12-07 18:10:58
48,229c52db-c6b0-4c13-a682-98696680b379,confirm order,2023-12-07 18:11:01
49,229c52db-c6b0-4c13-a682-98696680b379,ship goods,2023-12-08 04:21:09
50,229c52db-c6b0-4c13-a682-98696680b379,send invoice,2023-12-08 04:21:10
51,229c52db-c6b0-4c13-a682-98696680b379,archive order,2023-12-08 04:21:12
52,b2d5ca67-0330-45e8-912e-62208d65453a,check availability,2023-12-07 18:11:00
53,b2d5ca67-0330-45e8-912e-62208d65453a,confirm order,2023-12-07 18:11:01
54,b2d5ca67-0330-45e8-912e-62208d65453a,ship goods,2023-12-08 04:21:08
55,b2d5ca67-0330-45e8-912e-62208d65453a,send invoice,2023-12-08 04:21:09
56,b2d5ca67-0330-45e8-912e-62208d65453a,archive order,2023-12-08 04:21:11
57,e325c7b5-2762-423b-bbe2-312a24888355,check availability,2023-12-07 18:11:01
58,e325c7b5-2762-423b-bbe2-312a24888355,confirm order,2023-12-07 18:11:06
59,e325c7b5-2762-423b-bbe2-312a24888355,send invoice,2023-12-07 18:11:12
60,e325c7b5-2762-423b-bbe2-312a24888355,ship goods,2023-12-08 04:21:17
61,e325c7b5-2762-423b-bbe2-312a24888355,archive order,2023-12-08 04:21:18
62,daf01ed9-70f0-4008-84c5-9704bf0cd414,check availability,2023-12-07 18:11:01
63,daf01ed9-70f0-4008-84c5-9704bf0cd414,confirm order,2023-12-07 18:11:05
64,daf01ed9-70f0-4008-84c5-9704bf0cd414,send invoice,2023-12-07 18:11:10
